"","ID","Coef_PTL_20.34vsControl","P_PTL_20.34vsControl","Q_PTL_20.34vsControl","Coef_PTL_34.37vsControl","P_PTL_34.37vsControl","Q_PTL_34.37vsControl","Coef_PPROM_20.34vsControl","P_PPROM_20.34vsControl","Q_PPROM_20.34vsControl","Coef_PPROM_34.37vsControl","P_PPROM_34.37vsControl","Q_PPROM_34.37vsControl"
"nbb.14","IL17A",0.378218393484334,0.300877258855118,0.463340959567857,0.480347486057552,0.0391413227014606,0.0784512347081834,0.869026166244752,0.0145824491441382,0.0371189614578062,-0.146481644207615,0.60338713946925,0.939058655002998
"nbb.15","IL1a",-0.436997635069368,0.0843583136985951,0.337433254794381,-0.0973142223848551,0.547550208589191,0.580236503860791,0.0921439996883908,0.707754857051657,0.762197538363323,-0.0716227924625982,0.707018841579284,0.939058655002998
"nbb.16","IL5",0.0942963123467736,0.763706282579909,0.879062654196302,-0.264814223429381,0.182607098062232,0.255649937287125,-0.174695868126629,0.566680169154032,0.661126864013038,-0.362277591314573,0.113916380306224,0.939058655002998
"nbb.17","IL7",0.0118998689053197,0.975803929054141,0.975803929054141,0.264738523167703,0.295982559964038,0.360326594738829,0.443727480704515,0.247229856148735,0.329639808198313,0.0728183275516033,0.803492813986242,0.939058655002998
"nbb.18","TNFb",0.413211520491646,0.227890666792685,0.390476478545318,0.281198126057771,0.196635349665516,0.262180466220688,-0.108498328176089,0.741030338176682,0.768475906257299,-0.176246576769296,0.493171977575514,0.939058655002998
"nbb.19","VEGF",-1.34392878504531,4.37223560387959e-11,1.22422596908629e-09,-0.238709509946272,0.053928950580701,0.0943756635162268,-1.79678486984685,2.18147161828092e-20,6.10812053118658e-19,-0.22881983000449,0.0889657177366164,0.939058655002998
"nbb.20","IL8.1",0.407553731545301,0.120825251692839,0.338310704739948,0.458162710467352,0.00552265744970941,0.0309268817183727,0.327510466578593,0.193189409633427,0.270578450439544,-0.00532580409767558,0.979025694441648,0.979025694441648
"nbb.21","IP10",-0.0780416037490112,0.784877369818127,0.879062654196302,0.12545491732018,0.488745032107432,0.547394435960324,-0.480071701151564,0.0887392893098836,0.165646673378449,-0.146844223020871,0.491631031106676,0.939058655002998
"nbb.22","MCP1",0.393383064665661,0.105049162313614,0.338310704739948,0.405648327592286,0.00961833687349377,0.0384733474939751,0.719030106799669,0.00260016900097827,0.0154513794671233,0.229687506358389,0.204601623193256,0.939058655002998
"nbb.23","MIP1a",0.784184197209819,0.0691000361556509,0.322466835393037,1.08430557028675,9.79638196681278e-05,0.00274298695070758,1.1339005623395,0.00689615379048594,0.0275846151619438,0.426468153223711,0.198896610486287,0.939058655002998
"nbb.24","MIP1b",1.23696606918333,0.00339885640362103,0.0475839896506944,0.981692441416232,0.000433697827735252,0.00404784639219569,1.67691557403059,4.61197420439166e-05,0.000645676388614832,0.259803593992968,0.43030027150057,0.939058655002998
"nbb.25","TARC",0.398816489692993,0.116311168910356,0.338310704739948,0.0941304767126512,0.559513771580049,0.580236503860791,0.12167239258431,0.624257029281082,0.699167872794812,-0.0252793276774958,0.892811348391169,0.939058655002998
"nbb.26","bDefensin2",-0.309983062944245,0.445132412227394,0.623185377118352,-0.291817332475278,0.268055911209265,0.341162068811791,-1.17444529828074,0.00275917490484344,0.0154513794671233,-0.402468790602873,0.193490749866011,0.939058655002998
"nbb.27","SLPI",-0.0201614445273233,0.945618191812447,0.975803929054141,0.349315301073671,0.0789237968604111,0.122770350671751,-0.58058543999363,0.0471590565692626,0.0943181131385251,-0.216840766299234,0.347374498381463,0.939058655002998
